Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:18.2     	15.51 	73.5    	15.61
04:19.1     	15.39 	72.9    	15.62
04:20.0     	15.30 	72.8    	15.64
04:20.9     	15.30 	73.5    	15.66
04:21.8     	15.52 	75.1    	15.68
04:22.7     	15.82 	74.0    	15.71
04:23.6     	15.67 	73.5    	15.73
04:24.5     	15.60 	72.7    	15.76
04:25.4     	15.43 	72.2    	15.77
04:26.2     	15.34 	72.7    	15.79
04:27.2     	15.20 	73.0    	15.80
04:28.1     	15.20 	72.8    	15.80
04:29.0     	15.09 	73.3    	15.80
04:29.9     	15.17 	74.3    	15.80
04:30.8     	15.31 	73.8    	15.81
04:31.7     	15.39 	73.6    	15.81
04:32.6     	15.32 	73.6    	15.82
04:33.5     	15.41 	74.1    	15.82
04:34.3     	15.50 	74.6    	15.83
04:35.2     	15.60 	73.1    	15.84
04:36.1     	15.38 	72.5    	15.84
04:37.0     	15.34 	73.8    	15.85
04:37.9     	15.40 	73.5    	15.86
04:38.8     	15.28 	73.4    	15.85
04:39.8     	15.24 	73.0    	15.85
04:40.7     	15.25 	74.5    	15.84
04:41.8     	15.27 	74.5    	15.86
04:42.4     	15.50 	74.3    	15.87
04:43.6     	15.25 	74.1    	15.88
04:44.2     	15.51 	74.2    	15.89
04:45.8     	15.78 	74.2    	15.90
04:46.0     	15.78 	73.4    	15.93
04:46.9     	15.77 	74.0    	15.95
04:47.8     	15.69 	73.3    	15.97
04:48.7     	15.47 	72.0    	15.98
04:49.6     	15.26 	72.3    	16.00
04:50.4     	15.07 	72.6    	16.00
04:51.3     	15.04 	72.8    	16.01
04:52.2     	14.95 	73.5    	16.01
04:53.2     	14.96 	73.8    	16.00
04:54.1     	14.99 	74.4    	16.00
04:55.0     	15.16 	75.2    	16.00
04:55.9     	15.16 	74.3    	16.00
04:56.8     	15.20 	75.0    	15.99
04:57.7     	15.31 	73.9    	15.98
04:58.5     	15.44 	75.4    	15.99
04:59.4     	15.57 	74.0    	15.99
05:00.3     	15.39 	73.7    	15.99
05:01.2     	15.34 	72.8    	16.00
05:02.1     	15.13 	72.2    	15.99
05:03.0     	15.02 	71.9    	15.99
05:03.9     	15.01 	72.5    	15.98
05:04.8     	15.13 	73.8    	15.99
05:05.7     	15.22 	74.1    	15.99
05:06.6     	15.22 	73.8    	15.99
05:07.5     	15.23 	74.4    	15.98
05:08.5     	15.13 	73.3    	15.97
05:09.3     	14.70 	73.5    	15.95
05:10.2     	14.60 	73.5    	15.93
05:11.1     	14.48 	74.1    	15.91
05:12.0     	14.59 	74.3    	15.88
05:12.9     	14.47 	73.7    	15.85
05:13.8     	14.45 	73.6    	15.82
05:14.6     	14.44 	73.8    	15.78
05:15.5     	14.54 	73.9    	15.75
05:16.5     	14.64 	74.0    	15.73
05:17.3     	14.84 	74.9    	15.71
05:18.2     	15.20 	75.1    	15.71
05:19.1     	15.42 	74.8    	15.70
05:20.1     	15.40 	74.0    	15.70
05:21.0     	15.50 	73.4    	15.71
05:21.9     	15.52 	74.1    	15.72
05:22.7     	15.63 	74.5    	15.74
05:23.6     	15.77 	75.2    	15.77
05:24.6     	15.99 	74.2    	15.79
05:25.4     	15.61 	73.6    	15.81
05:26.3     	15.23 	73.0    	15.81
05:27.2     	15.05 	73.8    	15.82
05:28.1     	15.04 	74.7    	15.82
05:29.0     	15.12 	75.7    	15.82
05:29.9     	15.49 	76.0    	15.83
05:30.7     	15.68 	75.6    	15.84
05:31.7     	15.71 	74.7    	15.86
05:32.6     	15.62 	74.7    	15.87
05:33.5     	15.76 	74.7    	15.89
05:34.4     	15.71 	74.8    	15.91
05:35.3     	15.69 	74.9    	15.92
05:36.2     	15.65 	75.0    	15.94
05:37.1     	15.81 	75.9    	15.96
05:38.0     	15.95 	74.9    	15.98
05:38.9     	15.51 	74.1    	15.99
05:39.8     	15.44 	73.6    	16.00
05:40.7     	15.09 	73.8    	15.99
05:41.5     	15.03 	75.3    	15.98
05:42.4     	15.03 	74.3    	15.95
05:43.3     	14.91 	74.2    	15.93
