Time [mm:ss]	T [°C] 	U [%r H]    	Tu Cap [°C]
03:22.9     	13.30  	94.5        	13.52
03:23.8     	13.30  	94.6        	13.52
03:24.6     	13.30  	94.6        	13.52
03:25.6     	13.29  	94.7        	13.52
03:26.5     	13.29  	94.7        	13.52
03:27.4     	13.30  	94.7        	13.51
03:28.3     	13.30  	94.7        	13.51
03:29.2     	13.30  	94.7        	13.51
03:30.1     	13.30  	94.7        	13.51
03:31.0     	13.30  	94.7        	13.51
03:31.9     	13.29  	94.7        	13.51
03:32.7     	13.29  	94.8        	13.51
03:33.7     	13.29  	94.8        	13.51
03:34.6     	13.29  	94.8        	13.50
03:35.4     	13.30  	94.9        	13.50
03:36.3     	13.30  	94.9        	13.50
03:37.2     	13.30  	94.9        	13.51
03:38.1     	13.29  	94.9        	13.51
03:39.0     	13.30  	94.9        	13.51
03:39.9     	13.32  	94.8        	13.50
03:40.9     	13.33  	94.7        	13.50
03:41.8     	13.34  	94.6        	13.51
03:42.7     	13.34  	94.6        	13.51
03:43.5     	13.33  	94.7        	13.51
03:44.4     	13.34  	94.7        	13.51
03:45.3     	13.34  	94.7        	13.51
03:46.2     	13.35  	94.7        	13.51
03:47.1     	13.37  	94.6        	13.51
03:48.0     	13.38  	94.6        	13.51
03:48.9     	13.37  	94.6        	13.51
03:49.8     	13.36  	94.7        	13.52
03:50.7     	13.35  	94.7        	13.52
03:51.6     	13.35  	94.8        	13.52
03:52.4     	13.35  	94.8        	13.52
03:53.4     	13.35  	94.8        	13.52
03:53.7     	13.35  	94.8        	13.52
03:54.3     	13.36  	94.8        	13.52
03:55.2     	13.35  	94.9        	13.53
03:56.1     	13.34  	94.9        	13.53
03:57.0     	13.34  	95.0        	13.53
03:57.9     	13.33  	95.0        	13.53
03:58.8     	13.33  	95.0        	13.53
03:59.7     	13.33  	95.0        	13.53
04:00.5     	13.33  	95.0        	13.53
04:01.4     	13.34  	95.0        	13.53
04:02.3     	13.35  	94.9        	13.53
04:03.2     	13.35  	94.9        	13.52
04:04.1     	13.35  	94.9        	13.52
04:05.0     	13.35  	94.9        	13.52
04:05.9     	13.35  	94.9        	13.52
04:06.9     	13.34  	95.0        	13.52
04:07.8     	13.33  	95.0        	13.52
04:08.6     	13.34  	95.0        	13.52
04:09.5     	13.36  	94.8        	13.52
04:10.4     	13.39  	94.7        	13.52
04:11.3     	13.39  	94.7        	13.52
04:12.2     	13.38  	94.8        	13.52
04:13.1     	13.36  	94.9        	13.52
04:13.9     	13.36  	94.9        	13.52
04:14.9     	13.36  	95.0        	13.52
04:15.8     	13.34  	95.1        	13.52
04:16.6     	13.35  	95.1        	13.52
04:17.5     	13.36  	95.0        	13.52
04:18.4     	13.36  	95.0        	13.52
04:19.3     	13.37  	94.9        	13.52
04:20.3     	13.36  	95.0        	13.52
04:21.2     	13.36  	95.0        	13.52
04:22.1     	13.35  	95.0        	13.52
04:23.0     	13.36  	95.0        	13.52
04:23.9     	13.36  	95.0        	13.52
04:24.7     	13.37  	95.0        	13.52
04:25.6     	13.38  	94.9        	13.52
04:26.5     	13.37  	95.0        	13.52
04:27.4     	13.36  	95.1        	13.52
04:28.3     	13.37  	95.0        	13.52
04:29.2     	13.37  	95.0        	13.52
04:30.0     	13.37  	95.0        	13.52
04:31.0     	13.37  	95.0        	13.52
04:31.9     	13.37  	95.1        	13.52
04:32.8     	13.37  	95.1        	13.52
04:33.7     	13.37  	95.1        	13.52
04:34.6     	13.36  	95.2        	13.52
04:35.5     	13.34  	95.3        	13.52
04:36.4     	13.34  	95.3        	13.52
04:37.3     	13.34  	95.3        	13.52
04:38.2     	13.34  	95.3        	13.52
04:39.1     	13.35  	95.2        	13.52
04:40.0     	13.36  	95.1        	13.52
04:40.8     	13.36  	95.1        	13.52
04:41.7     	13.37  	95.0        	13.52
04:42.6     	13.37  	95.0        	13.52
04:43.5     	13.38  	95.0        	13.52
04:44.4     	13.37  	95.0        	13.52
04:45.5     	13.37  	95.0        	13.51
04:46.3     	13.35  	95.1        	13.51
04:47.2     	13.34  	95.2        	13.51
04:48.1     	13.34  	95.2        	13.51
04:48.9     	13.34  	95.3        	13.51
04:49.8     	13.34  	95.2        	13.51
04:50.7     	13.32  	95.3        	13.51
04:51.6     	13.31  	95.4        	13.51
04:52.5     	13.32  	95.4        	13.50
04:53.4     	13.32  	95.4        	13.50
04:54.3     	13.33  	95.3        	13.50
