Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:41.2     	16.87 	53.9    	19.98
04:42.1     	16.81 	54.9    	19.98
04:43.0     	16.72 	55.9    	19.99
04:43.9     	16.67 	57.3    	19.97
04:44.8     	16.65 	57.9    	19.93
04:45.7     	16.60 	60.8    	19.92
04:46.7     	16.86 	65.7    	19.94
04:47.6     	16.94 	63.4    	19.95
04:48.5     	17.18 	69.3    	19.97
04:49.3     	17.36 	63.9    	19.97
04:50.2     	17.21 	57.3    	19.98
04:51.1     	17.09 	55.5    	19.99
04:52.0     	17.04 	57.5    	19.99
04:52.9     	16.94 	55.3    	19.97
04:53.8     	16.83 	54.1    	19.98
04:54.7     	16.71 	54.4    	19.99
04:55.6     	16.66 	57.3    	20.00
04:56.5     	16.66 	56.7    	20.02
04:57.3     	16.67 	57.8    	20.05
04:58.2     	16.81 	59.5    	20.08
04:59.1     	17.01 	59.5    	20.12
05:00.0     	17.12 	58.5    	20.16
05:01.0     	17.23 	59.3    	20.20
05:01.9     	17.36 	60.3    	20.24
05:02.8     	17.39 	59.9    	20.27
05:03.7     	17.34 	59.8    	20.30
05:04.6     	17.33 	58.6    	20.32
05:05.4     	17.08 	55.5    	20.34
05:06.3     	16.93 	55.7    	20.35
05:07.2     	16.82 	56.3    	20.37
05:08.1     	16.56 	55.1    	20.38
05:09.0     	16.37 	55.0    	20.38
05:09.9     	16.43 	56.1    	20.37
05:10.8     	16.37 	56.6    	20.37
05:11.7     	16.52 	58.5    	20.38
05:12.6     	16.67 	60.8    	20.38
05:13.5     	16.87 	63.0    	20.38
05:14.4     	17.34 	64.1    	20.38
05:15.3     	17.71 	66.2    	20.38
05:16.2     	17.85 	66.9    	20.40
05:17.1     	18.00 	65.6    	20.41
05:18.0     	18.39 	64.5    	20.42
05:18.9     	18.35 	57.8    	20.43
05:19.8     	18.12 	57.2    	20.45
05:20.7     	17.96 	57.5    	20.47
05:21.6     	17.90 	58.3    	20.49
05:22.4     	17.76 	58.8    	20.51
05:23.3     	17.69 	59.1    	20.52
05:24.3     	17.84 	60.5    	20.54
05:25.1     	17.82 	61.7    	20.56
05:26.0     	17.79 	60.9    	20.58
05:27.0     	17.69 	60.4    	20.59
05:27.9     	17.45 	57.2    	20.61
05:28.8     	16.93 	52.6    	20.61
05:29.7     	16.46 	52.3    	20.61
05:30.5     	16.04 	51.4    	20.60
05:31.5     	15.76 	51.8    	20.58
05:32.4     	15.57 	52.0    	20.55
05:33.2     	15.46 	52.4    	20.53
05:34.1     	15.44 	53.0    	20.50
05:35.0     	15.41 	53.2    	20.47
05:35.9     	15.39 	52.6    	20.44
05:36.8     	15.36 	52.4    	20.41
05:37.7     	15.31 	52.2    	20.38
05:38.5     	15.39 	54.4    	20.35
05:39.4     	15.41 	53.9    	20.33
05:40.5     	15.31 	52.8    	20.30
05:41.3     	15.27 	52.3    	20.27
05:42.2     	15.22 	52.0    	20.24
05:43.1     	15.34 	54.6    	20.21
05:44.0     	15.36 	54.0    	20.17
05:44.9     	15.24 	52.2    	20.13
05:45.8     	15.13 	51.1    	20.10
05:46.6     	15.08 	50.6    	20.06
05:47.6     	15.09 	50.4    	20.03
05:48.5     	15.18 	51.3    	20.01
05:49.3     	15.26 	52.3    	19.99
05:50.2     	15.33 	52.4    	19.97
05:51.1     	15.41 	52.6    	19.96
05:52.0     	15.47 	53.0    	19.94
05:53.0     	15.62 	55.9    	19.92
05:53.9     	15.71 	54.9    	19.90
05:54.7     	15.66 	52.8    	19.87
05:55.7     	15.56 	51.9    	19.84
05:56.6     	15.63 	54.6    	19.80
05:57.4     	15.71 	55.5    	19.77
05:58.3     	15.79 	55.0    	19.74
05:59.2     	15.88 	56.1    	19.72
06:00.1     	16.05 	57.0    	19.69
06:01.0     	16.07 	55.2    	19.67
06:01.9     	15.98 	53.2    	19.65
06:02.7     	15.91 	52.1    	19.62
06:03.7     	15.87 	54.9    	19.59
06:04.6     	15.85 	54.0    	19.56
06:05.4     	15.80 	53.2    	19.54
06:06.4     	15.64 	50.6    	19.51
06:07.3     	15.55 	50.1    	19.48
06:08.2     	15.51 	50.4    	19.45
06:09.1     	15.51 	51.7    	19.43
