Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:12.9     	14.77 	64.4    	15.73
04:13.8     	14.52 	63.4    	15.72
04:14.6     	14.34 	61.5    	15.70
04:15.5     	13.88 	61.7    	15.64
04:16.4     	13.78 	63.9    	15.59
04:17.3     	13.97 	64.7    	15.55
04:18.3     	14.11 	64.1    	15.50
04:19.2     	14.14 	63.2    	15.46
04:20.0     	14.12 	63.1    	15.42
04:20.9     	14.11 	62.8    	15.39
04:21.8     	14.21 	64.4    	15.37
04:22.7     	14.23 	62.9    	15.35
04:23.6     	14.39 	63.6    	15.35
04:24.5     	14.31 	63.4    	15.35
04:25.4     	14.25 	63.0    	15.35
04:26.3     	14.37 	65.3    	15.35
04:27.2     	14.59 	64.1    	15.36
04:28.1     	14.42 	63.7    	15.37
04:28.9     	14.65 	65.5    	15.38
04:29.9     	14.53 	63.4    	15.38
04:30.8     	14.69 	66.1    	15.39
04:31.7     	14.61 	62.6    	15.38
04:32.6     	14.46 	63.3    	15.37
04:33.5     	14.33 	62.7    	15.35
04:34.4     	14.40 	64.0    	15.34
04:35.3     	14.36 	62.7    	15.32
04:36.2     	14.13 	63.6    	15.30
04:37.0     	14.11 	64.2    	15.28
04:37.9     	14.23 	66.2    	15.27
04:38.8     	14.37 	64.1    	15.26
04:39.7     	14.44 	65.0    	15.26
04:40.7     	14.42 	62.9    	15.26
04:41.6     	14.41 	62.6    	15.27
04:42.5     	14.29 	62.8    	15.26
04:43.4     	14.34 	64.7    	15.27
04:44.3     	14.45 	64.1    	15.28
04:45.1     	14.51 	65.0    	15.28
04:46.0     	14.60 	64.2    	15.29
04:46.9     	14.69 	65.4    	15.31
04:47.8     	14.79 	64.3    	15.32
04:48.7     	14.81 	64.1    	15.34
04:49.6     	14.77 	64.8    	15.36
04:50.5     	14.78 	65.3    	15.39
04:51.4     	14.80 	62.3    	15.40
04:52.3     	14.54 	62.3    	15.41
04:53.2     	14.67 	64.8    	15.44
04:54.1     	14.80 	65.9    	15.47
04:55.0     	14.95 	63.4    	15.49
04:55.9     	14.55 	62.4    	15.51
04:56.8     	14.37 	63.1    	15.51
04:57.7     	14.36 	64.4    	15.51
04:58.5     	14.35 	64.3    	15.49
04:59.4     	14.58 	65.8    	15.49
05:00.3     	14.82 	65.7    	15.49
05:01.2     	14.60 	63.5    	15.47
05:02.1     	14.52 	64.3    	15.47
05:03.1     	14.68 	65.7    	15.48
05:04.0     	14.92 	66.5    	15.50
05:04.9     	15.10 	65.0    	15.53
05:05.8     	14.87 	63.2    	15.54
05:06.6     	14.89 	65.5    	15.56
05:07.5     	15.05 	65.8    	15.58
05:08.4     	14.99 	63.9    	15.60
05:09.3     	14.95 	65.3    	15.61
05:10.2     	14.90 	65.0    	15.62
05:11.1     	14.66 	63.5    	15.60
05:11.9     	14.48 	63.8    	15.59
05:12.9     	14.33 	63.4    	15.56
05:13.9     	14.18 	63.8    	15.54
05:14.7     	14.24 	65.1    	15.52
05:15.6     	14.43 	66.4    	15.50
05:16.5     	14.72 	67.2    	15.50
05:17.4     	15.13 	67.9    	15.52
05:18.3     	15.13 	64.1    	15.53
05:19.2     	15.04 	64.5    	15.55
05:20.0     	14.95 	64.4    	15.58
05:21.0     	14.80 	63.5    	15.60
05:21.9     	14.83 	65.8    	15.63
05:22.7     	14.95 	65.7    	15.66
05:23.6     	14.92 	66.3    	15.69
05:24.5     	15.17 	68.3    	15.73
05:25.5     	15.41 	68.0    	15.77
05:26.4     	15.12 	64.3    	15.80
05:27.3     	14.90 	64.2    	15.83
05:28.1     	14.62 	63.4    	15.85
05:29.0     	14.51 	63.5    	15.86
05:29.9     	14.44 	65.1    	15.87
05:30.8     	14.56 	65.3    	15.86
05:31.7     	14.65 	67.2    	15.86
05:32.6     	14.90 	66.9    	15.85
05:33.5     	14.78 	65.4    	15.82
05:34.4     	14.87 	67.2    	15.82
05:35.3     	15.22 	69.1    	15.84
05:36.2     	15.22 	65.0    	15.84
05:37.1     	14.92 	64.6    	15.83
05:38.0     	14.78 	65.4    	15.82
05:38.9     	14.93 	66.7    	15.80
05:39.8     	14.88 	66.2    	15.79
05:40.7     	14.82 	64.6    	15.78
