Time [mm:ss]	T [°C] 	U [%r H]	Tu Cap [°C]
03:15.6     	14.02  	70.4    	14.87
03:16.5     	14.10  	70.6    	14.83
03:17.4     	14.23  	70.7    	14.82
03:18.3     	14.39  	69.7    	14.81
03:19.2     	14.32  	69.4    	14.80
03:20.1     	14.23  	68.5    	14.80
03:21.0     	14.17  	68.4    	14.80
03:21.9     	14.11  	68.3    	14.79
03:22.8     	14.17  	69.0    	14.79
03:23.6     	14.29  	69.2    	14.79
03:24.5     	14.39  	70.3    	14.80
03:25.5     	14.54  	70.4    	14.81
03:26.4     	14.63  	70.3    	14.83
03:27.3     	14.75  	69.8    	14.84
03:28.2     	14.83  	69.5    	14.86
03:29.1     	14.87  	69.2    	14.89
03:30.0     	14.95  	70.0    	14.91
03:30.9     	15.00  	69.7    	14.94
03:31.7     	14.81  	68.4    	14.96
03:32.6     	14.67  	68.2    	14.97
03:33.6     	14.63  	68.6    	14.99
03:34.4     	14.56  	68.7    	15.00
03:35.3     	14.61  	69.6    	15.00
03:36.2     	14.60  	69.0    	15.00
03:37.1     	14.59  	68.8    	15.01
03:38.0     	14.56  	69.1    	15.01
03:39.0     	14.54  	69.1    	15.01
03:39.8     	14.53  	69.1    	15.02
03:40.8     	14.47  	69.1    	15.02
03:41.7     	14.50  	69.4    	15.02
03:42.5     	14.55  	69.8    	15.03
03:43.4     	14.66  	69.6    	15.04
03:44.3     	14.65  	70.1    	15.05
03:45.2     	14.72  	70.5    	15.05
03:46.1     	14.86  	71.0    	15.07
03:47.0     	14.79  	70.0    	15.08
03:47.8     	14.70  	71.1    	15.09
03:48.8     	14.75  	70.2    	15.09
03:49.7     	14.56  	70.0    	15.09
03:50.5     	14.52  	70.5    	15.09
03:51.4     	14.50  	70.6    	15.08
03:52.4     	14.53  	70.9    	15.08
03:53.3     	14.67  	72.1    	15.08
03:54.2     	14.83  	71.3    	15.09
03:55.1     	14.88  	70.8    	15.10
03:56.0     	14.98  	70.8    	15.11
03:56.9     	14.99  	70.5    	15.13
03:57.8     	14.96  	70.6    	15.15
03:58.6     	15.01  	70.5    	15.17
03:59.5     	14.96  	70.3    	15.19
04:00.4     	14.93  	70.5    	15.20
04:01.3     	15.06  	71.0    	15.22
04:02.2     	15.15  	71.6    	15.24
04:03.1     	15.19  	71.2    	15.26
04:04.0     	15.18  	71.9    	15.29
04:04.9     	15.25  	71.7    	15.31
04:05.9     	15.02  	71.3    	15.32
04:06.7     	14.83  	71.7    	15.32
04:07.6     	14.82  	72.3    	15.32
04:08.5     	14.66  	71.3    	15.31
04:09.4     	14.60  	71.0    	15.31
04:10.3     	14.55  	71.1    	15.30
04:11.2     	14.53  	70.9    	15.28
04:12.1     	14.40  	70.5    	15.26
04:13.0     	14.31  	70.4    	15.25
04:13.9     	14.28  	70.4    	15.24
04:14.7     	14.33  	70.2    	15.24
04:15.6     	14.34  	69.9    	15.24
04:16.5     	14.33  	70.0    	15.24
04:17.4     	14.33  	70.4    	15.24
04:18.3     	14.32  	71.1    	15.23
04:19.3     	14.31  	72.3    	15.23
04:20.2     	14.60  	73.7    	15.23
04:21.1     	14.64  	70.6    	15.22
04:22.0     	14.49  	70.4    	15.21
04:22.8     	14.62  	71.4    	15.20
04:23.7     	14.46  	71.0    	15.18
04:24.6     	14.37  	71.0    	15.15
04:25.5     	14.31  	70.5    	15.12
04:26.4     	14.29  	69.8    	15.09
04:27.3     	14.39  	70.9    	15.06
04:28.2     	14.28  	68.2    	15.02
04:29.1     	14.11  	68.7    	15.00
04:30.0     	14.09  	68.5    	14.98
04:30.8     	14.14  	68.4    	14.95
04:31.7     	14.22  	68.9    	14.94
04:32.7     	14.31  	68.4    	14.93
04:33.6     	14.30  	68.1    	14.93
04:34.5     	14.28  	68.2    	14.91
04:35.4     	14.37  	68.9    	14.91
04:36.3     	14.51  	69.3    	14.92
04:37.2     	14.56  	69.0    	14.92
04:38.1     	14.68  	68.9    	14.93
04:38.9     	14.65  	68.2    	14.94
04:39.9     	14.67  	68.4    	14.96
04:40.8     	14.59  	68.1    	14.97
04:41.6     	14.56  	68.5    	14.98
04:42.5     	14.47  	68.8    	14.98
04:43.4     	14.45  	68.8    	14.98
04:44.3     	14.44  	69.1    	14.98
04:45.2     	14.22  	68.9    	14.97
04:46.1     	14.06  	69.0    	14.94
04:47.1     	13.95  	69.2    	14.92
04:47.9     	14.03  	70.2    	14.88
04:48.9     	14.31  	70.5    	14.87
04:49.7     	14.39  	69.8    	14.86
04:50.6     	14.35  	69.0    	14.84
04:51.5     	14.28  	68.9    	14.82
04:52.4     	14.22  	69.0    	14.79
04:53.3     	14.27  	69.1    	14.79
04:54.2     	14.35  	69.1    	14.79
04:55.0     	14.41  	69.0    	14.79
04:55.9     	14.38  	68.4    	14.80
04:56.9     	14.30  	68.2    	14.80
04:57.7     	14.26  	69.0    	14.81
04:58.6     	14.39  	69.5    	14.82
04:59.5     	14.40  	70.2    	14.83
05:00.5     	14.40  	70.6    	14.84
05:01.4     	14.39  	69.8    	14.85
05:02.3     	14.44  	70.1    	14.85
05:03.1     	14.30  	69.2    	14.85
05:04.0     	14.32  	69.5    	14.84
05:05.0     	14.32  	69.1    	14.83
05:05.8     	14.44  	69.9    	14.84
05:06.7     	14.53  	69.5    	14.84
05:07.6     	14.35  	68.9    	14.84
05:08.5     	14.41  	69.2    	14.85
05:09.4     	14.43  	69.6    	14.85
05:10.3     	14.48  	69.8    	14.86
05:11.1     	14.49  	70.1    	14.86
05:12.1     	14.35  	70.0    	14.86
05:13.1     	14.23  	70.7    	14.85
05:13.9     	14.13  	69.9    	14.82
05:14.8     	14.08  	70.1    	14.80
05:15.7     	14.01  	70.0    	14.77
05:16.6     	13.98  	69.6    	14.75
05:17.5     	13.98  	70.0    	14.73
05:18.4     	14.12  	70.8    	14.72
05:19.2     	14.29  	70.2    	14.72
05:20.2     	14.14  	69.2    	14.71
05:21.1     	14.13  	68.9    	14.71
05:21.9     	14.02  	69.0    	14.71
05:22.8     	14.09  	69.6    	14.70
05:23.7     	14.20  	69.7    	14.70
05:24.6     	14.21  	69.9    	14.70
05:25.5     	14.30  	69.9    	14.70
05:26.5     	14.30  	69.9    	14.70
05:27.3     	14.39  	70.4    	14.71
05:28.3     	14.50  	70.7    	14.73
05:29.2     	14.59  	69.9    	14.74
05:30.0     	14.45  	69.6    	14.75
05:30.9     	14.55  	70.6    	14.77
05:31.8     	14.55  	70.2    	14.78
05:32.7     	14.57  	69.9    	14.80
05:33.6     	14.61  	70.3    	14.82
05:34.5     	14.61  	69.6    	14.83
05:35.4     	14.59  	69.5    	14.84
05:36.3     	14.41  	68.8    	14.85
05:37.2     	14.26  	69.4    	14.85
05:38.0     	14.30  	69.7    	14.84
05:38.9     	14.29  	69.7    	14.83
05:39.8     	14.30  	70.0    	14.83
05:40.8     	14.34  	69.9    	14.83
05:41.7     	14.39  	70.0    	14.83
05:42.6     	14.32  	69.1    	14.82
05:43.5     	14.22  	68.6    	14.81
05:44.4     	14.10  	69.0    	14.80
05:45.3     	14.04  	69.1    	14.79
05:46.1     	14.06  	69.1    	14.78
05:47.0     	14.09  	69.4    	14.77
05:47.9     	14.17  	69.8    	14.76
05:48.8     	14.24  	69.7    	14.76
05:49.7     	14.29  	69.6    	14.76
05:50.6     	14.35  	70.2    	14.77
05:51.5     	14.51  	71.1    	14.78
05:52.4     	14.50  	69.8    	14.79
05:53.3     	14.44  	69.4    	14.80
05:54.2     	14.38  	69.6    	14.81
05:55.1     	14.34  	69.9    	14.81
05:56.0     	14.23  	68.9    	14.81
05:56.9     	14.14  	69.5    	14.80
05:57.8     	14.14  	70.2    	14.79
05:58.7     	14.15  	69.9    	14.79
05:59.6     	14.08  	69.8    	14.78
06:00.5     	14.13  	69.7    	14.78
06:01.4     	14.05  	69.1    	14.76
06:02.2     	13.96  	69.4    	14.74
06:03.1     	13.91  	70.1    	14.72
06:04.1     	13.99  	70.5    	14.70
06:04.9     	13.98  	69.4    	14.67
06:05.8     	13.92  	68.8    	14.65
06:06.7     	13.85  	68.7    	14.61
06:07.7     	13.93  	69.0    	14.60
06:08.6     	13.99  	68.9    	14.58
06:09.5     	14.04  	69.5    	14.57
06:10.4     	14.15  	69.4    	14.57
06:11.2     	14.08  	69.4    	14.56
06:12.2     	14.07  	69.8    	14.56
06:13.1     	14.14  	69.4    	14.56
06:13.9     	14.07  	69.2    	14.56
06:14.8     	14.01  	68.1    	14.75
06:15.7     	14.17  	69.9    	14.51
06:16.6     	14.26  	69.7    	14.55
06:17.5     	14.27  	69.8    	14.55
06:18.4     	14.33  	70.4    	14.56
06:19.2     	14.35  	70.2    	14.57
06:20.2     	14.36  	70.8    	14.58
06:21.2     	14.38  	71.3    	14.59
06:22.0     	14.39  	70.9    	14.61
06:22.9     	14.43  	71.4    	14.62
06:23.8     	14.45  	71.5    	14.64
06:24.7     	14.55  	71.2    	14.67
06:25.6     	14.54  	70.7    	14.69
06:26.5     	14.52  	70.6    	14.72
06:27.4     	14.53  	70.2    	14.74
06:28.3     	14.53  	70.5    	14.77
06:29.2     	14.54  	71.5    	14.79
06:30.0     	14.48  	71.0    	14.81
06:30.9     	14.48  	71.4    	14.82
06:31.8     	14.48  	70.9    	14.84
06:32.7     	14.49  	71.4    	14.86
06:33.6     	14.51  	71.9    	14.88
06:34.6     	14.57  	71.3    	14.90
06:35.5     	14.54  	71.0    	14.92
06:36.4     	14.52  	70.5    	14.94
06:37.3     	14.46  	71.3    	14.95
06:38.1     	14.43  	71.1    	14.96
06:39.0     	14.47  	71.4    	14.97
06:39.9     	14.48  	71.7    	14.98
06:40.8     	14.44  	72.3    	14.99
06:41.7     	14.45  	71.5    	15.01
