Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
04:48.6     	14.18 	64.4        	16.16
04:49.5     	14.12 	63.5        	16.15
04:50.4     	14.05 	63.7        	16.13
04:51.3     	14.02 	64.8        	16.13
04:52.2     	14.12 	65.6        	16.16
04:53.1     	14.31 	68.1        	16.21
04:54.0     	14.46 	65.8        	16.25
04:54.9     	14.50 	63.8        	16.29
04:55.9     	14.57 	65.0        	16.33
04:56.7     	14.62 	62.7        	16.38
04:57.6     	14.60 	61.0        	16.43
04:58.5     	14.53 	59.8        	16.49
04:59.4     	14.51 	60.5        	16.54
05:00.3     	14.53 	61.4        	16.59
05:01.2     	14.66 	62.3        	16.63
05:02.0     	14.71 	63.2        	16.68
05:02.9     	14.79 	64.1        	16.73
05:03.8     	14.68 	64.4        	16.75
05:04.7     	14.57 	63.4        	16.76
05:05.6     	14.51 	63.2        	16.76
05:06.6     	14.47 	63.7        	16.78
05:07.5     	14.37 	61.9        	16.77
05:08.4     	14.30 	62.7        	16.78
05:09.3     	14.27 	61.6        	16.82
05:10.1     	14.31 	61.7        	16.84
05:11.0     	14.32 	62.5        	16.88
05:11.9     	14.34 	62.7        	16.91
05:12.8     	14.45 	64.6        	16.94
05:13.7     	14.47 	62.7        	16.95
05:14.6     	14.44 	63.3        	16.94
05:15.4     	14.44 	63.9        	16.95
05:16.3     	14.48 	66.2        	16.97
05:17.4     	14.69 	66.9        	17.01
05:18.2     	14.76 	66.8        	17.04
05:19.1     	14.72 	63.2        	17.04
05:20.0     	14.65 	62.2        	17.01
05:20.9     	14.62 	63.1        	17.00
05:21.8     	14.61 	64.0        	16.99
05:22.7     	14.54 	63.1        	16.93
05:23.5     	14.39 	63.9        	16.87
05:24.4     	14.21 	65.0        	16.76
05:25.3     	14.12 	63.7        	16.67
05:26.2     	14.00 	63.2        	16.58
05:27.1     	13.96 	62.1        	16.49
05:28.1     	13.93 	62.7        	16.45
05:29.0     	13.95 	64.2        	16.39
05:29.9     	13.93 	64.2        	16.32
05:30.8     	13.97 	66.1        	16.27
05:31.6     	13.91 	62.6        	16.16
05:32.5     	13.84 	62.4        	16.07
05:33.4     	13.80 	61.9        	16.02
05:34.3     	13.81 	61.1        	15.97
05:35.2     	13.81 	60.8        	15.93
05:36.1     	13.79 	61.4        	15.86
05:36.9     	13.75 	61.6        	15.79
05:37.9     	13.71 	61.6        	15.70
05:38.9     	13.69 	60.9        	15.65
05:39.7     	13.71 	60.9        	15.62
05:40.6     	13.74 	60.6        	15.59
05:41.5     	13.79 	60.9        	15.57
05:42.4     	13.85 	61.5        	15.56
05:43.3     	13.91 	61.1        	15.57
05:44.2     	13.97 	62.6        	15.58
05:45.0     	13.97 	61.8        	15.53
05:45.9     	13.83 	62.2        	15.45
05:46.8     	13.74 	63.4        	15.41
05:47.7     	13.72 	62.0        	15.36
05:48.6     	13.72 	62.7        	15.32
05:49.6     	13.75 	60.9        	15.32
05:50.5     	13.82 	60.5        	15.33
05:51.4     	13.88 	60.5        	15.36
05:52.3     	13.92 	60.9        	15.39
05:53.1     	13.97 	60.9        	15.42
05:54.0     	14.01 	61.4        	15.42
05:54.9     	14.04 	60.8        	15.43
05:55.8     	14.06 	61.3        	15.45
05:56.7     	14.06 	61.3        	15.47
05:57.6     	14.01 	61.8        	15.48
05:58.5     	13.99 	62.8        	15.50
05:59.4     	14.02 	62.3        	15.50
06:00.3     	14.05 	63.5        	15.52
06:01.3     	14.09 	63.1        	15.54
06:02.1     	14.17 	61.6        	15.59
06:03.3     	14.25 	63.1        	15.65
06:03.9     	14.49 	60.9        	15.71
06:04.8     	14.59 	61.3        	15.77
06:05.7     	14.58 	61.6        	15.81
06:06.6     	14.48 	62.6        	15.82
06:07.5     	14.45 	62.4        	15.86
06:08.4     	14.42 	62.6        	15.90
06:09.3     	14.39 	64.0        	15.93
06:10.1     	14.41 	63.6        	15.97
06:11.0     	14.47 	61.3        	16.02
06:12.0     	14.36 	59.4        	16.07
06:12.9     	14.32 	59.1        	16.13
06:13.8     	14.33 	61.4        	16.18
06:14.7     	14.40 	62.7        	16.23
06:15.6     	14.46 	62.7        	16.23
06:16.4     	14.37 	63.5        	16.21
06:17.4     	14.33 	63.0        	16.18
06:18.2     	14.33 	63.0        	16.14
06:19.1     	14.35 	63.9        	16.11
06:20.0     	14.40 	64.8        	16.10
06:20.9     	14.47 	63.4        	16.11
06:21.8     	14.46 	64.0        	16.12
06:22.8     	14.43 	64.4        	16.12
06:23.6     	14.40 	65.0        	16.09
06:24.5     	14.33 	63.1        	16.04
06:25.4     	14.33 	63.8        	16.00
06:26.3     	14.41 	64.2        	15.99
06:27.2     	14.67 	67.2        	16.03
06:28.1     	14.74 	59.9        	16.05
06:29.0     	14.38 	58.7        	16.05
06:29.9     	14.17 	59.2        	16.04
06:30.8     	14.12 	61.2        	16.04
06:31.6     	14.23 	61.5        	16.00
06:32.5     	14.26 	60.8        	15.98
06:33.5     	14.29 	60.1        	16.00
06:34.4     	14.37 	60.3        	16.01
06:35.3     	14.45 	60.6        	16.04
06:36.2     	14.59 	61.2        	16.09
06:37.0     	14.65 	61.4        	16.12
06:37.9     	14.75 	60.9        	16.15
06:38.8     	14.87 	61.4        	16.15
06:39.7     	14.62 	60.5        	16.08
06:40.6     	14.33 	59.9        	15.98
06:41.5     	14.14 	61.4        	15.90
06:42.4     	14.01 	60.6        	15.81
06:43.4     	13.90 	61.0        	15.72
06:44.3     	13.87 	60.4        	15.68
06:45.1     	13.89 	61.2        	15.65
06:46.0     	13.92 	60.6        	15.64
06:46.9     	13.95 	61.7        	15.63
06:47.8     	13.94 	60.7        	15.62
06:48.7     	13.94 	61.0        	15.60
06:49.6     	13.86 	61.5        	15.56
06:50.4     	13.81 	61.9        	15.52
06:51.4     	13.86 	61.8        	15.49
06:52.3     	13.89 	61.4        	15.49
06:53.1     	13.92 	61.2        	15.49
06:54.1     	13.95 	62.1        	15.49
06:55.0     	13.98 	62.7        	15.50
06:55.9     	14.03 	62.3        	15.55
06:56.8     	14.22 	61.5        	15.60
06:57.7     	14.32 	61.0        	15.62
06:58.5     	14.51 	60.3        	15.69
06:59.4     	14.62 	60.8        	15.74
07:00.3     	14.72 	61.8        	15.80
07:01.2     	14.71 	62.1        	15.76
07:02.1     	14.81 	62.5        	15.78
07:03.0     	14.52 	60.9        	15.79
07:03.9     	14.37 	60.9        	15.79
07:04.8     	14.09 	61.6        	15.79
07:05.7     	13.91 	61.3        	15.74
07:06.6     	13.91 	62.1        	15.72
07:07.5     	14.11 	63.8        	15.72
07:08.4     	14.22 	63.7        	15.72
07:09.3     	14.23 	61.7        	15.72
07:10.2     	14.03 	61.1        	15.70
07:11.1     	13.99 	61.1        	15.69
07:11.9     	13.99 	62.0        	15.68
07:12.8     	14.08 	61.7        	15.68
07:13.8     	14.28 	61.6        	15.69
07:14.7     	14.12 	60.4        	15.67
07:15.6     	13.93 	60.6        	15.67
07:16.5     	13.79 	61.3        	15.65
07:17.3     	13.69 	61.8        	15.62
07:18.3     	13.61 	61.9        	15.59
07:19.2     	13.54 	62.3        	15.53
07:20.0     	13.65 	63.5        	15.49
07:20.9     	13.65 	60.5        	15.44
07:21.8     	13.57 	62.9        	15.40
07:22.7     	13.80 	64.1        	15.37
07:23.7     	13.91 	63.7        	15.35
07:24.6     	13.96 	63.3        	15.32
07:25.4     	13.83 	61.4        	15.27
07:26.3     	13.72 	60.5        	15.23
07:27.2     	13.76 	62.2        	15.21
07:28.1     	13.88 	62.8        	15.19
07:29.0     	13.92 	62.0        	15.16
07:29.9     	13.94 	63.0        	15.15
07:30.8     	14.07 	63.6        	15.15
07:31.7     	14.17 	63.5        	15.16
07:32.6     	14.08 	63.2        	15.16
07:33.4     	14.23 	61.7        	15.16
07:34.3     	14.12 	63.0        	15.13
07:35.3     	14.10 	63.5        	15.10
07:36.2     	14.82 	58.9        	15.08
07:37.1     	14.32 	59.9        	15.04
07:38.0     	14.15 	60.2        	15.02
07:38.8     	13.87 	61.2        	15.00
07:39.7     	13.71 	61.4        	14.96
07:40.7     	13.70 	63.2        	14.93
07:41.6     	13.94 	62.4        	14.97
07:42.4     	14.53 	62.5        	15.04
07:43.3     	15.27 	62.2        	15.05
07:44.2     	15.74 	57.6        	15.05
07:45.2     	15.72 	56.6        	15.06
07:46.1     	15.54 	57.9        	15.07
07:47.0     	16.05 	60.0        	15.09
07:47.8     	16.53 	61.9        	15.11
07:48.7     	16.75 	61.9        	15.15
07:49.6     	16.66 	58.4        	15.14
07:50.5     	16.64 	57.6        	15.19
07:51.4     	16.55 	58.3        	15.24
07:52.3     	16.61 	58.4        	15.29
07:53.2     	16.10 	56.3        	15.33
07:54.1     	15.39 	55.7        	15.36
07:55.0     	15.22 	55.3        	15.38
07:55.9     	15.19 	55.4        	15.40
07:56.8     	15.43 	55.1        	15.42
07:57.7     	15.72 	55.4        	15.44
07:58.6     	16.03 	57.9        	15.46
07:59.5     	16.40 	59.6        	15.49
08:00.4     	16.55 	60.4        	15.53
08:01.3     	17.00 	59.6        	15.57
08:02.2     	17.23 	60.6        	15.61
08:03.1     	17.49 	60.6        	15.66
08:03.9     	17.70 	60.1        	15.71
08:04.8     	17.73 	56.5        	15.76
08:05.7     	17.57 	55.4        	15.81
08:06.6     	17.38 	56.7        	15.87
08:07.6     	17.49 	56.6        	15.92
08:08.5     	17.64 	56.0        	15.97
08:09.4     	17.61 	55.5        	16.03
08:10.3     	18.06 	53.8        	16.08
08:11.2     	18.13 	52.5        	16.14
08:12.0     	18.10 	51.5        	16.19
08:12.9     	17.81 	51.3        	16.24
08:13.8     	17.52 	52.5        	16.28
08:14.7     	17.65 	52.2        	16.32
08:15.6     	17.78 	53.4        	16.36
08:16.5     	17.92 	54.4        	16.39
08:17.3     	17.72 	55.3        	16.43
08:18.2     	17.52 	56.2        	16.47
08:19.3     	17.52 	55.6        	16.50
08:20.1     	17.84 	53.4        	16.52
08:21.0     	17.77 	54.4        	16.55
08:21.9     	17.65 	54.6        	16.58
08:22.8     	17.74 	53.4        	16.62
08:23.7     	17.53 	51.5        	16.65
08:24.6     	17.21 	51.4        	16.54
08:25.4     	16.38 	52.4        	16.55
08:26.4     	16.11 	53.3        	16.55
08:27.3     	16.01 	53.6        	16.55
08:28.1     	15.97 	53.6        	16.54
08:29.0     	15.98 	53.3        	16.53
08:29.9     	16.22 	53.5        	16.63
08:30.9     	16.19 	54.6        	16.63
08:31.8     	16.32 	56.4        	16.63
08:32.7     	16.61 	57.2        	16.64
08:33.5     	16.62 	57.5        	16.65
08:34.4     	16.97 	56.9        	16.66
08:35.3     	17.39 	57.0        	16.68
08:36.2     	17.66 	56.5        	16.71
08:37.1     	17.56 	55.0        	16.74
08:38.0     	17.43 	55.0        	16.75
08:38.8     	17.39 	54.8        	16.77
08:39.8     	17.40 	54.6        	16.79
08:40.7     	17.64 	54.5        	16.81
08:41.5     	17.89 	55.4        	16.85
08:42.5     	17.61 	56.0        	16.88
08:43.4     	17.83 	55.8        	16.91
08:44.3     	17.91 	56.9        	16.94
08:45.2     	17.98 	55.8        	17.04
08:46.1     	17.93 	55.8        	17.09
08:46.9     	18.31 	55.5        	17.10
08:47.8     	18.40 	54.2        	17.14
08:48.7     	18.80 	52.4        	17.22
08:50.1     	19.20 	50.6        	17.30
08:50.3     	19.20 	50.6        	17.30
08:50.5     	18.97 	50.6        	17.34
08:51.4     	18.95 	52.8        	17.38
08:52.3     	19.21 	50.7        	17.53
08:53.2     	20.27 	46.2        	17.73
08:54.2     	21.01 	43.0        	17.88
08:55.0     	21.49 	39.6        	17.99
08:55.9     	21.82 	42.3        	18.15
08:56.8     	21.19 	44.4        	18.27
08:57.7     	20.81 	43.8        	18.38
08:58.6     	20.01 	44.3        	18.45
08:59.5     	19.35 	45.3        	18.52
09:00.4     	18.72 	46.9        	18.57
09:01.3     	18.16 	48.8        	18.63
09:02.2     	18.30 	49.2        	18.68
09:03.0     	18.32 	50.0        	18.70
09:03.9     	18.09 	50.2        	18.73
09:04.8     	17.78 	49.3        	18.78
09:06.3     	17.46 	48.4        	18.83
09:06.5     	17.46 	48.4        	18.83
09:06.7     	17.96 	49.5        	18.92
09:07.6     	17.57 	51.1        	18.78
09:08.5     	16.70 	52.7        	18.64
09:09.4     	15.54 	53.6        	18.49
09:10.3     	14.80 	57.2        	18.38
09:11.1     	14.44 	58.7        	18.26
09:12.0     	14.27 	59.2        	18.16
09:12.9     	14.12 	59.6        	17.97
09:13.8     	14.10 	59.7        	17.73
09:14.7     	14.09 	58.7        	17.59
09:15.6     	14.02 	58.6        	17.49
09:16.5     	14.03 	58.2        	17.41
09:17.5     	13.61 	57.6        	17.29
09:18.4     	13.47 	59.3        	17.11
09:19.2     	13.48 	59.2        	16.96
09:20.1     	13.53 	58.7        	16.85
09:21.0     	13.41 	58.7        	16.77
09:21.9     	13.19 	58.1        	16.58
09:22.8     	12.82 	58.1        	16.39
09:23.7     	12.62 	58.8        	16.11
09:24.5     	12.45 	58.3        	15.80
09:25.4     	12.30 	58.2        	15.56
09:26.3     	12.24 	58.4        	15.35
09:27.3     	12.30 	59.3        	15.15
09:28.2     	12.40 	59.5        	14.97
09:29.1     	12.49 	58.4        	14.67
09:30.0     	12.42 	58.5        	14.46
09:30.9     	12.41 	58.1        	14.26
09:31.8     	12.33 	57.6        	14.11
09:32.7     	12.42 	58.5        	14.04
09:33.5     	12.33 	57.7        	13.98
09:34.4     	12.25 	57.3        	13.93
09:35.8     	12.17 	56.8        	13.88
09:36.0     	12.17 	56.8        	13.88
09:36.2     	12.05 	57.7        	13.81
09:37.1     	11.97 	57.5        	13.76
