Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:57.7     	11.31 	94.1    	11.46
04:58.6     	11.31 	94.1    	11.46
04:59.5     	11.31 	94.1    	11.46
05:00.5     	11.31 	94.1    	11.45
05:01.4     	11.31 	94.1    	11.45
05:02.3     	11.31 	94.1    	11.45
05:03.2     	11.32 	94.1    	11.45
05:04.0     	11.33 	94.1    	11.45
05:04.9     	11.33 	94.1    	11.45
05:05.8     	11.34 	94.1    	11.45
05:06.7     	11.33 	94.1    	11.45
05:07.6     	11.33 	94.1    	11.45
05:08.5     	11.33 	94.1    	11.45
05:09.4     	11.33 	94.1    	11.45
05:10.3     	11.33 	94.1    	11.45
05:11.2     	11.32 	94.1    	11.45
05:12.0     	11.32 	94.2    	11.45
05:12.9     	11.32 	94.2    	11.45
05:13.8     	11.32 	94.2    	11.45
05:14.8     	11.32 	94.2    	11.45
05:15.7     	11.32 	94.2    	11.45
05:16.6     	11.33 	94.1    	11.45
05:17.5     	11.33 	94.1    	11.45
05:18.4     	11.33 	94.1    	11.45
05:19.3     	11.33 	94.2    	11.45
05:20.1     	11.33 	94.2    	11.45
05:21.0     	11.33 	94.2    	11.45
05:21.9     	11.32 	94.2    	11.45
05:22.8     	11.33 	94.2    	11.45
05:23.7     	11.33 	94.2    	11.45
05:24.6     	11.33 	94.2    	11.45
05:25.5     	11.32 	94.2    	11.45
05:26.4     	11.32 	94.2    	11.45
05:27.3     	11.33 	94.2    	11.45
05:28.2     	11.33 	94.2    	11.45
05:29.1     	11.33 	94.2    	11.45
05:30.1     	11.33 	94.2    	11.45
05:30.9     	11.33 	94.2    	11.45
05:31.8     	11.33 	94.2    	11.45
05:32.7     	11.34 	94.2    	11.45
05:33.6     	11.33 	94.2    	11.45
05:34.5     	11.33 	94.3    	11.45
05:35.4     	11.33 	94.3    	11.45
05:36.3     	11.33 	94.3    	11.45
05:37.1     	11.34 	94.3    	11.45
05:38.1     	11.34 	94.3    	11.45
05:39.0     	11.33 	94.3    	11.45
05:39.8     	11.33 	94.3    	11.45
05:40.5     	11.33 	94.3    	11.45
05:40.7     	11.33 	94.3    	11.45
05:41.7     	11.33 	94.4    	11.45
05:42.6     	11.33 	94.4    	11.45
