Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:14.2     	14.55 	55.3    	18.70
04:15.1     	14.52 	55.9    	18.72
04:16.0     	14.54 	56.8    	18.73
04:16.9     	14.53 	57.0    	18.75
04:17.8     	14.45 	58.3    	18.76
04:18.7     	14.37 	59.3    	18.76
04:19.5     	14.37 	60.4    	18.74
04:20.4     	14.33 	59.9    	18.72
04:21.4     	14.18 	57.5    	18.69
04:22.2     	14.07 	56.9    	18.66
04:23.1     	13.99 	56.6    	18.62
04:24.0     	13.94 	57.1    	18.58
04:24.9     	13.93 	57.2    	18.55
04:25.8     	13.87 	56.2    	18.51
04:26.8     	13.87 	56.2    	18.48
04:27.6     	13.97 	57.4    	18.45
04:28.6     	14.07 	57.8    	18.43
04:29.5     	14.13 	57.9    	18.40
04:30.3     	14.20 	58.1    	18.39
04:31.2     	14.34 	58.1    	18.38
04:32.1     	14.46 	59.3    	18.37
04:33.0     	14.60 	59.5    	18.37
04:33.9     	14.78 	60.8    	18.38
04:34.8     	14.91 	61.3    	18.39
04:35.7     	15.06 	60.0    	18.41
04:36.6     	15.22 	61.0    	18.43
04:37.5     	15.42 	61.8    	18.45
04:38.3     	15.47 	60.5    	18.48
04:39.2     	15.68 	62.8    	18.51
04:40.1     	15.72 	60.8    	18.55
04:41.1     	15.45 	57.6    	18.57
04:42.0     	15.25 	60.1    	18.60
04:42.9     	15.11 	59.2    	18.62
04:43.8     	14.90 	58.4    	18.64
04:44.7     	14.62 	56.9    	18.66
04:45.6     	14.51 	56.5    	18.68
04:46.4     	14.43 	56.5    	18.70
04:47.3     	14.56 	58.5    	18.73
04:48.2     	14.71 	58.7    	18.75
04:49.1     	14.84 	56.9    	18.77
04:50.0     	14.83 	55.9    	18.78
04:50.9     	14.75 	54.8    	18.80
04:51.8     	14.68 	53.9    	18.82
04:52.7     	14.72 	54.8    	18.85
04:53.6     	14.80 	56.2    	18.88
04:54.5     	14.78 	57.8    	18.91
04:55.4     	14.74 	58.7    	18.93
04:56.3     	14.74 	58.6    	18.96
04:57.2     	14.77 	57.8    	18.98
04:58.1     	14.71 	57.0    	18.99
04:59.0     	14.66 	58.4    	19.01
04:59.9     	14.68 	58.3    	19.02
05:00.8     	14.66 	57.8    	19.02
05:01.7     	14.61 	57.7    	19.02
