Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
06:02.4     	12.03 	62.1      	12.46
06:03.4     	12.02 	62.0      	12.46
06:04.3     	12.03 	61.9      	12.47
06:05.2     	12.02 	61.5      	12.47
06:06.1     	11.99 	61.5      	12.47
06:07.0     	11.99 	62.2      	12.47
06:07.8     	11.99 	62.8      	12.47
06:08.7     	12.00 	62.7      	12.47
06:09.6     	11.90 	61.5      	12.47
06:10.5     	11.82 	61.4      	12.47
06:11.4     	11.78 	62.2      	12.47
06:12.3     	11.79 	62.8      	12.47
06:13.2     	11.81 	63.1      	12.47
06:14.1     	11.83 	63.5      	12.47
06:15.0     	11.80 	62.8      	12.46
06:15.8     	11.76 	62.8      	12.46
06:16.8     	11.72 	63.5      	12.46
06:17.7     	11.73 	62.7      	12.46
06:18.6     	11.69 	62.7      	12.45
06:19.5     	11.69 	62.6      	12.45
06:20.4     	11.69 	61.7      	12.44
06:21.3     	11.71 	61.1      	12.44
06:22.2     	11.71 	61.1      	12.43
06:23.1     	11.64 	61.1      	12.43
06:23.9     	11.64 	60.8      	12.42
06:24.8     	11.65 	60.8      	12.42
06:25.7     	11.63 	60.8      	12.42
06:26.6     	11.65 	60.7      	12.41
06:27.5     	11.69 	60.9      	12.41
06:28.4     	11.70 	60.9      	12.40
06:29.3     	11.74 	61.1      	12.40
06:30.3     	11.77 	61.5      	12.40
06:31.2     	11.83 	62.2      	12.40
06:32.0     	11.81 	61.9      	12.40
06:32.9     	11.75 	61.7      	12.39
06:33.8     	11.71 	61.3      	12.39
06:34.7     	11.68 	61.2      	12.39
06:35.6     	11.68 	61.5      	12.38
06:36.5     	11.70 	62.2      	12.38
06:37.4     	11.69 	62.2      	12.38
06:38.3     	11.70 	62.6      	12.37
06:39.2     	11.76 	62.9      	12.37
06:40.0     	11.81 	63.0      	12.37
06:40.9     	11.82 	62.9      	12.37
06:41.8     	11.84 	63.0      	12.37
06:42.7     	11.87 	63.2      	12.36
06:43.7     	11.92 	63.4      	12.36
06:44.6     	11.97 	63.4      	12.37
06:45.5     	11.99 	63.4      	12.37
06:46.4     	11.98 	63.7      	12.37
06:47.3     	11.93 	64.6      	12.37
06:48.1     	11.87 	65.6      	12.37
06:49.0     	11.85 	65.3      	12.37
06:49.9     	11.85 	64.6      	12.37
06:50.8     	11.86 	64.2      	12.37
06:51.7     	11.89 	63.6      	12.37
06:52.6     	11.90 	63.4      	12.37
06:53.5     	11.90 	64.0      	12.37
06:54.4     	11.93 	64.2      	12.37
06:55.3     	11.97 	64.4      	12.37
06:56.1     	12.01 	65.2      	12.38
06:57.1     	12.03 	65.7      	12.38
06:58.0     	12.06 	65.8      	12.38
06:58.9     	12.08 	65.6      	12.39
06:59.8     	12.06 	65.6      	12.39
07:00.7     	11.99 	66.0      	12.40
07:01.6     	11.94 	65.5      	12.40
07:02.5     	11.95 	64.8      	12.40
07:03.4     	11.98 	64.2      	12.41
07:04.2     	11.99 	64.3      	12.41
07:05.1     	12.02 	64.6      	12.42
07:06.0     	12.05 	64.8      	12.42
07:06.9     	12.03 	65.3      	12.43
07:07.8     	12.11 	65.3      	12.44
07:08.7     	12.20 	65.2      	12.44
07:09.6     	12.33 	65.6      	12.45
07:10.6     	12.38 	65.2      	12.46
07:11.5     	12.48 	65.0      	12.47
07:12.3     	12.59 	64.9      	12.48
07:13.3     	12.59 	64.4      	12.49
07:14.2     	12.46 	64.1      	12.51
07:15.0     	12.35 	63.9      	12.52
07:15.9     	12.29 	64.3      	12.53
07:16.8     	12.27 	64.6      	12.54
07:17.7     	12.30 	64.5      	12.54
07:18.6     	12.28 	63.9      	12.55
07:19.5     	12.27 	63.5      	12.56
07:20.3     	12.30 	63.3      	12.57
07:21.3     	12.32 	63.4      	12.58
07:22.2     	12.34 	63.4      	12.58
07:23.0     	12.36 	63.6      	12.59
07:24.0     	12.49 	63.5      	12.60
07:24.9     	12.57 	63.8      	12.61
07:25.8     	12.74 	64.2      	12.62
07:26.7     	12.78 	64.6      	12.64
07:27.6     	12.81 	64.8      	12.66
07:28.5     	12.84 	65.3      	12.67
07:29.4     	12.84 	65.0      	12.69
07:30.3     	12.84 	64.6      	12.70
07:31.1     	12.84 	64.5      	12.72
07:32.0     	12.84 	64.8      	12.73
07:32.9     	12.73 	64.4      	12.75
07:33.8     	12.62 	64.0      	12.76
