Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
03:10.7     	13.58 	92.2        	13.89
03:11.6     	13.59 	92.2        	13.89
03:12.5     	13.58 	92.2        	13.88
03:13.4     	13.56 	92.3        	13.88
03:14.3     	13.54 	92.4        	13.87
03:15.2     	13.55 	92.3        	13.87
03:16.2     	13.58 	92.2        	13.86
03:17.0     	13.60 	92.1        	13.86
03:17.9     	13.61 	92.1        	13.85
03:18.8     	13.64 	92.3        	13.85
03:19.7     	13.63 	92.2        	13.85
03:20.6     	13.59 	92.4        	13.85
03:21.5     	13.56 	92.5        	13.84
03:22.4     	13.54 	92.6        	13.84
03:23.3     	13.53 	92.6        	13.83
03:24.2     	13.54 	92.7        	13.83
03:25.0     	13.54 	92.7        	13.82
03:25.9     	13.53 	92.7        	13.82
03:26.8     	13.53 	92.6        	13.82
03:27.7     	13.53 	92.6        	13.81
03:28.6     	13.53 	92.6        	13.81
03:29.6     	13.53 	92.5        	13.80
03:30.5     	13.53 	92.6        	13.80
03:31.4     	13.54 	92.5        	13.79
03:32.3     	13.54 	92.5        	13.79
03:33.1     	13.53 	92.5        	13.78
03:34.0     	13.54 	92.6        	13.78
03:34.9     	13.54 	92.5        	13.78
03:35.8     	13.53 	92.5        	13.77
03:36.7     	13.53 	92.5        	13.77
03:37.6     	13.52 	92.6        	13.76
03:38.5     	13.51 	92.6        	13.76
03:39.4     	13.51 	92.5        	13.75
03:40.3     	13.51 	92.4        	13.75
03:41.1     	13.54 	92.4        	13.75
03:42.0     	13.56 	92.1        	13.74
03:43.0     	13.57 	92.2        	13.74
03:43.9     	13.56 	92.2        	13.74
03:44.8     	13.56 	92.4        	13.73
03:45.7     	13.56 	92.4        	13.73
03:46.6     	13.56 	92.5        	13.73
03:47.5     	13.57 	92.8        	13.73
03:48.4     	13.56 	92.7        	13.72
03:49.2     	13.56 	92.6        	13.72
03:50.1     	13.55 	92.5        	13.72
03:51.1     	13.55 	92.5        	13.72
03:51.9     	13.54 	92.4        	13.71
03:52.8     	13.55 	92.3        	13.71
03:53.7     	13.57 	92.3        	13.71
03:54.6     	13.57 	92.3        	13.70
03:55.5     	13.56 	92.4        	13.70
03:56.5     	13.56 	92.5        	13.70
03:57.3     	13.56 	92.5        	13.70
03:58.3     	13.55 	92.6        	13.70
03:59.2     	13.55 	92.6        	13.70
04:00.0     	13.54 	92.6        	13.70
04:00.9     	13.55 	92.6        	13.70
04:01.8     	13.54 	92.6        	13.70
04:02.7     	13.54 	92.6        	13.70
04:03.6     	13.55 	92.7        	13.70
04:04.5     	13.54 	92.8        	13.70
04:05.4     	13.53 	92.7        	13.69
04:06.3     	13.53 	92.7        	13.69
04:07.2     	13.54 	92.8        	13.69
04:08.0     	13.54 	92.8        	13.69
04:08.9     	13.54 	92.8        	13.69
04:09.8     	13.55 	92.8        	13.69
04:10.8     	13.56 	92.9        	13.69
04:11.7     	13.58 	92.8        	13.69
04:12.6     	13.61 	92.9        	13.69
04:13.5     	13.59 	92.9        	13.69
04:14.4     	13.57 	92.8        	13.69
04:15.3     	13.56 	92.8        	13.69
04:16.1     	13.57 	92.9        	13.69
04:17.0     	13.57 	93.0        	13.69
04:17.9     	13.56 	93.0        	13.69
04:18.8     	13.56 	93.0        	13.69
04:19.7     	13.57 	93.0        	13.69
04:20.6     	13.63 	92.7        	13.70
04:21.5     	13.61 	92.8        	13.70
04:22.4     	13.58 	93.0        	13.70
04:23.3     	13.57 	93.1        	13.70
04:24.2     	13.56 	93.2        	13.70
04:25.1     	13.56 	93.3        	13.70
04:26.0     	13.57 	93.4        	13.70
04:26.9     	13.57 	93.4        	13.71
04:27.8     	13.59 	93.3        	13.71
04:28.7     	13.60 	93.2        	13.71
04:29.6     	13.61 	93.3        	13.71
04:30.5     	13.62 	93.3        	13.72
04:31.4     	13.62 	93.3        	13.72
04:32.2     	13.60 	93.4        	13.72
04:33.1     	13.59 	93.6        	13.72
04:34.0     	13.58 	93.6        	13.72
04:34.9     	13.57 	93.5        	13.73
04:35.8     	13.58 	93.5        	13.73
04:36.7     	13.57 	93.5        	13.73
04:37.7     	13.58 	93.5        	13.73
04:38.6     	13.57 	93.5        	13.73
04:39.5     	13.57 	93.6        	13.73
04:40.3     	13.57 	93.6        	13.74
04:41.2     	13.58 	93.6        	13.74
04:42.2     	13.59 	93.6        	13.74
04:43.0     	13.61 	93.5        	13.74
04:43.9     	13.63 	93.5        	13.75
04:44.8     	13.63 	93.5        	13.75
04:45.7     	13.61 	93.7        	13.75
04:46.6     	13.59 	93.8        	13.76
04:47.5     	13.59 	93.8        	13.76
04:48.3     	13.58 	93.9        	13.76
04:49.3     	13.58 	94.0        	13.77
04:50.2     	13.56 	94.1        	13.77
04:51.1     	13.56 	94.1        	13.77
04:52.0     	13.55 	94.1        	13.77
04:52.9     	13.55 	94.2        	13.77
04:53.8     	13.56 	94.1        	13.77
04:54.7     	13.57 	94.1        	13.77
04:55.6     	13.58 	94.0        	13.77
04:56.5     	13.59 	94.0        	13.77
04:57.4     	13.61 	94.2        	13.77
04:58.3     	13.63 	94.4        	13.78
04:59.1     	13.63 	94.4        	13.78
05:00.0     	13.62 	94.5        	13.78
05:00.9     	13.63 	94.4        	13.78
05:01.8     	13.63 	94.4        	13.78
05:02.7     	13.62 	94.4        	13.79
05:03.6     	13.62 	94.5        	13.79
05:04.6     	13.64 	94.4        	13.79
05:05.5     	13.66 	94.4        	13.79
05:06.4     	13.68 	94.3        	13.79
05:07.2     	13.67 	94.4        	13.79
05:08.1     	13.66 	94.4        	13.80
05:09.0     	13.63 	94.5        	13.80
05:09.9     	13.61 	94.6        	13.80
05:10.8     	13.60 	94.7        	13.80
