Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:48.7     	14.19 	93.3    	14.89
05:49.6     	14.19 	93.4    	14.88
05:50.5     	14.20 	93.4    	14.88
05:51.4     	14.20 	93.5    	14.87
05:52.3     	14.20 	93.5    	14.87
05:53.2     	14.20 	93.5    	14.87
05:54.1     	14.18 	93.5    	14.86
05:55.1     	14.18 	93.6    	14.86
05:56.0     	14.18 	93.6    	14.85
05:56.8     	14.21 	93.6    	14.85
05:57.7     	14.18 	93.3    	14.84
05:58.6     	14.15 	93.3    	14.83
05:59.5     	14.13 	93.4    	14.82
06:00.4     	14.13 	93.4    	14.81
06:01.3     	14.16 	93.5    	14.80
06:02.2     	14.14 	93.3    	14.79
06:03.1     	14.13 	93.3    	14.78
06:04.0     	14.11 	93.3    	14.77
06:04.8     	14.10 	93.4    	14.76
06:05.7     	14.09 	93.4    	14.75
06:06.7     	14.08 	93.4    	14.74
06:07.5     	14.07 	93.5    	14.73
06:08.5     	14.09 	93.4    	14.73
06:09.4     	14.13 	93.3    	14.72
06:10.3     	14.12 	93.3    	14.72
06:11.2     	14.14 	93.2    	14.71
06:12.1     	14.14 	93.3    	14.71
06:12.9     	14.15 	93.3    	14.70
06:13.8     	14.19 	93.3    	14.70
06:14.8     	14.20 	93.2    	14.69
06:15.6     	14.21 	93.2    	14.69
06:16.5     	14.25 	93.6    	14.69
06:17.4     	14.30 	93.5    	14.69
06:18.3     	14.28 	93.2    	14.68
06:19.2     	14.25 	93.1    	14.68
06:20.1     	14.21 	92.9    	14.67
06:21.0     	14.17 	93.0    	14.66
06:21.9     	14.15 	93.3    	14.66
06:22.8     	14.15 	93.5    	14.65
06:23.7     	14.17 	93.6    	14.65
06:24.6     	14.16 	93.6    	14.65
06:25.5     	14.15 	93.6    	14.65
06:26.4     	14.13 	93.6    	14.65
06:27.3     	14.11 	93.6    	14.65
06:28.2     	14.11 	93.6    	14.65
06:29.0     	14.12 	93.6    	14.64
06:30.0     	14.14 	93.6    	14.64
06:30.9     	14.19 	93.7    	14.64
06:31.7     	14.22 	93.6    	14.64
06:32.6     	14.22 	93.0    	14.62
06:33.5     	14.19 	93.1    	14.61
06:34.5     	14.17 	93.3    	14.61
06:35.4     	14.15 	93.3    	14.59
06:36.3     	14.15 	93.5    	14.59
06:37.1     	14.15 	93.5    	14.59
06:38.1     	14.18 	93.7    	14.59
06:39.0     	14.20 	93.6    	14.59
06:39.8     	14.23 	93.4    	14.59
06:40.7     	14.16 	93.3    	14.59
06:41.6     	14.11 	93.4    	14.58
06:42.5     	14.11 	93.5    	14.58
06:43.4     	14.11 	93.6    	14.58
06:44.3     	14.09 	93.5    	14.57
06:45.1     	14.07 	93.5    	14.57
06:46.1     	14.06 	93.6    	14.56
06:47.1     	14.07 	93.6    	14.56
06:47.9     	14.10 	93.5    	14.56
06:48.8     	14.12 	93.5    	14.56
06:49.7     	14.12 	93.5    	14.56
06:50.6     	14.15 	93.4    	14.56
06:51.5     	14.16 	93.4    	14.56
06:52.4     	14.18 	93.6    	14.56
06:53.2     	14.19 	93.6    	14.56
06:54.2     	14.22 	93.5    	14.56
06:55.1     	14.24 	93.3    	14.56
06:55.9     	14.23 	93.3    	14.56
06:56.8     	14.22 	93.4    	14.57
06:57.7     	14.20 	93.5    	14.57
06:59.1     	14.17 	93.5    	14.57
06:59.2     	14.17 	93.5    	14.57
06:59.5     	14.18 	93.7    	14.57
07:00.5     	14.17 	93.7    	14.58
07:01.4     	14.16 	93.8    	14.58
07:02.3     	14.18 	93.8    	14.58
07:03.2     	14.18 	93.8    	14.58
07:04.0     	14.19 	93.9    	14.59
07:04.9     	14.20 	93.9    	14.59
07:05.8     	14.24 	93.9    	14.60
07:06.7     	14.25 	94.0    	14.60
07:07.6     	14.22 	94.0    	14.61
07:08.5     	14.21 	94.0    	14.61
07:09.4     	14.18 	94.1    	14.62
07:10.3     	14.17 	94.1    	14.62
07:11.2     	14.18 	94.0    	14.62
07:12.0     	14.17 	94.1    	14.62
07:12.9     	14.16 	94.2    	14.62
07:14.6     	14.15 	94.3    	14.62
07:14.8     	14.17 	94.0    	14.62
07:15.7     	14.16 	93.9    	14.62
07:16.6     	14.15 	93.8    	14.62
07:17.5     	14.13 	93.9    	14.61
07:18.4     	14.12 	93.8    	14.61
07:19.3     	14.11 	93.7    	14.61
07:20.1     	14.10 	93.7    	14.61
