Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:39.4     	12.61 	92.9    	12.78
04:40.3     	12.60 	92.9    	12.78
04:41.2     	12.59 	93.0    	12.77
04:42.1     	12.59 	93.1    	12.77
04:42.9     	12.60 	93.1    	12.77
04:43.9     	12.61 	93.0    	12.77
04:44.7     	12.62 	92.9    	12.77
04:45.7     	12.63 	93.1    	12.77
04:46.6     	12.64 	93.1    	12.77
04:47.5     	12.65 	93.1    	12.77
04:48.4     	12.65 	93.1    	12.77
04:49.3     	12.65 	93.1    	12.77
04:50.2     	12.66 	93.1    	12.77
04:51.0     	12.67 	93.2    	12.77
04:51.9     	12.71 	93.2    	12.77
04:52.8     	12.72 	93.1    	12.78
04:53.7     	12.70 	93.1    	12.78
04:54.6     	12.69 	93.2    	12.78
04:55.5     	12.69 	93.4    	12.78
04:56.5     	12.69 	93.3    	12.79
04:57.4     	12.67 	93.3    	12.79
04:58.3     	12.65 	93.3    	12.79
04:59.1     	12.65 	93.3    	12.79
05:00.0     	12.66 	93.3    	12.79
05:00.9     	12.65 	93.4    	12.78
05:01.8     	12.66 	93.3    	12.78
05:02.7     	12.65 	93.3    	12.78
05:03.6     	12.64 	93.3    	12.78
05:04.4     	12.64 	93.3    	12.78
05:05.4     	12.65 	93.4    	12.78
05:06.3     	12.65 	93.4    	12.78
05:07.1     	12.67 	93.5    	12.78
05:08.1     	12.69 	93.6    	12.79
05:09.0     	12.72 	93.5    	12.79
05:09.9     	12.74 	93.5    	12.80
05:10.8     	12.75 	93.5    	12.80
05:11.7     	12.75 	93.4    	12.81
05:12.5     	12.73 	93.5    	12.81
05:13.4     	12.73 	93.6    	12.81
05:14.3     	12.74 	93.7    	12.82
05:15.2     	12.72 	93.7    	12.82
05:16.1     	12.73 	93.8    	12.83
05:17.0     	12.73 	93.8    	12.83
05:17.9     	12.73 	93.8    	12.83
05:18.9     	12.74 	93.8    	12.84
05:19.8     	12.76 	93.8    	12.84
05:20.6     	12.77 	93.8    	12.84
05:21.5     	12.77 	93.6    	12.85
05:22.4     	12.76 	93.6    	12.85
05:23.3     	12.72 	93.6    	12.85
05:24.2     	12.70 	93.6    	12.85
05:25.1     	12.68 	93.7    	12.85
05:26.0     	12.68 	93.8    	12.85
05:26.9     	12.68 	93.8    	12.84
05:27.8     	12.68 	93.8    	12.84
05:28.6     	12.68 	93.7    	12.84
05:29.6     	12.68 	93.6    	12.84
05:30.5     	12.67 	93.6    	12.84
05:31.4     	12.67 	93.7    	12.84
05:32.3     	12.68 	93.7    	12.84
05:33.2     	12.70 	93.7    	12.84
05:34.0     	12.70 	93.7    	12.84
05:34.9     	12.70 	93.7    	12.84
05:35.8     	12.70 	93.7    	12.84
05:36.7     	12.69 	93.7    	12.84
05:37.6     	12.67 	93.6    	12.84
05:38.5     	12.66 	93.7    	12.83
05:39.4     	12.66 	93.7    	12.83
05:40.4     	12.67 	93.8    	12.83
05:41.3     	12.68 	93.7    	12.83
05:42.1     	12.68 	93.8    	12.83
05:43.0     	12.70 	93.6    	12.83
05:43.9     	12.70 	93.7    	12.83
05:44.8     	12.70 	93.7    	12.83
05:45.7     	12.71 	93.6    	12.83
05:46.6     	12.70 	93.7    	12.83
05:47.5     	12.69 	93.7    	12.83
05:48.4     	12.68 	93.8    	12.83
05:49.3     	12.68 	93.8    	12.83
05:50.1     	12.70 	93.8    	12.84
05:51.0     	12.69 	93.8    	12.84
05:52.0     	12.70 	93.8    	12.84
05:52.9     	12.69 	93.8    	12.84
05:53.8     	12.68 	93.8    	12.84
05:54.7     	12.68 	93.8    	12.84
05:55.5     	12.67 	93.5    	12.83
05:56.5     	12.65 	93.6    	12.83
05:57.4     	12.67 	93.5    	12.83
05:58.2     	12.64 	93.4    	12.82
05:59.1     	12.62 	93.3    	12.82
06:00.0     	12.62 	93.2    	12.81
06:00.9     	12.63 	93.3    	12.81
06:01.8     	12.63 	93.3    	12.80
06:02.8     	12.63 	93.4    	12.80
06:03.7     	12.64 	93.3    	12.80
06:04.5     	12.64 	93.2    	12.80
06:05.4     	12.64 	93.2    	12.79
06:06.3     	12.64 	93.3    	12.79
06:07.2     	12.63 	93.4    	12.79
06:08.1     	12.64 	93.3    	12.79
06:09.0     	12.63 	93.3    	12.78
06:09.9     	12.63 	93.3    	12.78
