Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:58.6     	13.90 	92.8        	14.46
02:59.6     	13.90 	92.8        	14.45
03:00.5     	13.89 	92.9        	14.44
03:01.3     	13.89 	92.9        	14.44
03:02.2     	13.91 	93.0        	14.43
03:03.2     	13.90 	92.8        	14.42
03:04.0     	13.90 	92.7        	14.42
03:04.9     	13.90 	92.7        	14.41
03:05.8     	13.91 	92.7        	14.41
03:06.7     	13.91 	92.7        	14.40
03:07.6     	13.89 	92.2        	14.39
03:08.5     	13.89 	92.4        	14.38
03:09.3     	13.87 	92.3        	14.38
03:10.2     	13.88 	92.4        	14.37
03:11.2     	13.89 	92.4        	14.37
03:12.1     	13.90 	92.5        	14.36
03:13.0     	13.90 	92.3        	14.36
03:13.9     	13.90 	92.3        	14.35
03:14.8     	13.92 	92.5        	14.34
03:15.7     	13.97 	92.6        	14.34
03:16.6     	13.96 	92.5        	14.34
03:17.4     	13.94 	92.5        	14.34
03:18.3     	13.93 	92.6        	14.34
03:19.2     	13.92 	92.8        	14.33
03:20.1     	13.91 	92.9        	14.33
03:21.0     	13.93 	92.8        	14.33
03:22.0     	13.92 	92.7        	14.33
03:22.9     	13.93 	92.8        	14.33
03:23.8     	13.94 	92.8        	14.34
03:24.7     	13.93 	92.7        	14.33
03:25.5     	13.91 	92.8        	14.33
03:26.4     	13.88 	92.8        	14.33
03:27.3     	13.87 	92.8        	14.33
03:28.2     	13.87 	92.8        	14.33
03:29.1     	13.86 	92.9        	14.33
03:30.0     	13.89 	92.9        	14.33
03:30.8     	13.88 	93.0        	14.33
03:31.8     	13.89 	93.1        	14.34
03:32.7     	13.91 	93.2        	14.34
03:33.6     	13.91 	93.0        	14.34
03:34.5     	13.89 	92.9        	14.33
03:35.4     	13.88 	92.9        	14.33
03:36.3     	13.87 	93.0        	14.33
03:37.2     	13.86 	93.0        	14.33
03:38.1     	13.86 	93.0        	14.33
03:38.9     	13.86 	93.0        	14.33
03:39.8     	13.87 	93.0        	14.33
03:40.7     	13.89 	93.1        	14.33
03:41.6     	13.89 	93.1        	14.33
03:42.5     	13.90 	93.1        	14.33
03:43.5     	13.89 	93.1        	14.33
03:44.4     	13.89 	93.1        	14.33
03:45.3     	13.89 	93.1        	14.33
03:46.2     	13.88 	93.1        	14.33
03:47.0     	13.88 	93.1        	14.33
03:47.9     	13.90 	93.2        	14.33
03:48.8     	13.90 	93.1        	14.33
03:49.7     	13.92 	92.9        	14.33
03:50.6     	13.92 	92.9        	14.33
03:51.5     	13.91 	92.9        	14.32
03:52.3     	13.91 	93.0        	14.33
03:53.3     	13.90 	93.1        	14.33
03:54.3     	13.90 	93.1        	14.33
03:55.1     	13.89 	93.2        	14.33
03:56.0     	13.90 	93.1        	14.32
03:56.9     	13.90 	93.1        	14.32
03:57.8     	13.90 	93.2        	14.32
03:58.7     	13.89 	93.2        	14.32
03:59.6     	13.90 	93.3        	14.33
04:00.4     	13.93 	93.5        	14.33
04:01.3     	13.92 	93.4        	14.33
04:02.3     	13.91 	93.4        	14.33
04:03.1     	13.91 	93.4        	14.33
04:04.0     	13.92 	93.4        	14.33
04:04.9     	13.91 	93.3        	14.33
04:05.9     	13.91 	93.4        	14.33
04:06.8     	13.90 	93.4        	14.33
04:07.7     	13.89 	93.2        	14.32
04:08.6     	13.89 	93.3        	14.32
04:09.4     	13.89 	93.2        	14.31
04:10.3     	13.89 	93.2        	14.31
04:11.2     	13.89 	93.2        	14.30
04:12.1     	13.88 	93.3        	14.30
04:13.0     	13.88 	93.3        	14.30
04:13.9     	13.89 	93.3        	14.30
04:14.8     	13.91 	93.3        	14.30
04:15.7     	13.93 	93.3        	14.31
04:16.6     	13.95 	93.3        	14.31
04:17.5     	13.96 	93.4        	14.32
04:18.4     	13.96 	93.5        	14.32
04:19.3     	13.97 	93.5        	14.32
04:20.2     	13.94 	93.6        	14.33
04:21.1     	13.94 	93.7        	14.33
04:22.0     	13.95 	93.6        	14.33
04:22.8     	13.93 	93.6        	14.33
04:23.7     	13.92 	93.6        	14.33
04:24.7     	13.92 	93.5        	14.33
04:25.5     	13.93 	93.5        	14.33
04:26.4     	13.97 	93.3        	14.34
04:27.3     	14.02 	93.2        	14.34
04:28.3     	14.04 	93.2        	14.35
04:29.2     	14.04 	93.2        	14.35
04:30.1     	14.01 	93.3        	14.35
04:30.9     	13.97 	93.3        	14.35
04:31.8     	13.95 	93.2        	14.35
04:32.7     	13.91 	93.3        	14.34
04:33.6     	13.89 	93.4        	14.34
04:34.5     	13.88 	93.6        	14.34
04:35.4     	13.87 	93.7        	14.34
04:36.3     	13.87 	93.7        	14.34
04:37.2     	13.87 	93.7        	14.34
04:38.1     	13.89 	93.8        	14.34
04:39.0     	13.91 	93.7        	14.34
04:39.9     	13.91 	93.6        	14.34
04:40.8     	13.91 	93.6        	14.34
04:41.7     	13.94 	93.7        	14.34
04:42.6     	13.94 	93.6        	14.34
04:43.5     	13.92 	93.7        	14.33
04:44.3     	13.91 	93.7        	14.33
04:45.3     	13.95 	93.8        	14.33
04:46.2     	13.97 	93.7        	14.33
04:47.0     	13.98 	93.7        	14.34
04:47.9     	13.99 	93.7        	14.34
04:48.8     	14.01 	93.6        	14.34
04:49.8     	14.03 	93.6        	14.35
04:50.7     	14.06 	93.6        	14.35
04:51.6     	14.06 	93.6        	14.36
04:52.4     	14.06 	93.8        	14.37
04:53.3     	14.03 	93.9        	14.37
04:54.3     	14.00 	94.0        	14.37
04:55.1     	13.97 	94.0        	14.38
04:56.0     	13.96 	94.1        	14.38
04:56.9     	13.95 	94.2        	14.38
04:57.8     	13.95 	94.2        	14.38
04:58.7     	13.95 	94.2        	14.39
04:59.6     	13.95 	94.2        	14.39
05:00.4     	13.94 	94.2        	14.39
05:01.4     	13.95 	94.2        	14.39
05:02.3     	13.96 	94.2        	14.40
05:03.2     	13.98 	94.3        	14.40
05:04.1     	13.98 	94.2        	14.40
05:05.0     	13.97 	94.2        	14.41
05:05.9     	13.98 	94.2        	14.41
05:06.8     	13.98 	94.2        	14.41
05:07.7     	13.97 	94.3        	14.41
05:08.5     	13.96 	94.3        	14.41
05:09.4     	13.96 	94.3        	14.41
05:10.3     	13.96 	94.2        	14.41
05:11.2     	13.96 	94.2        	14.41
05:12.2     	13.97 	94.2        	14.41
05:13.1     	13.99 	94.2        	14.41
05:13.9     	14.02 	94.1        	14.41
05:14.9     	14.05 	93.9        	14.42
05:15.8     	14.08 	93.8        	14.42
05:16.6     	14.09 	93.9        	14.42
05:17.5     	14.08 	93.9        	14.43
05:18.4     	14.07 	94.0        	14.43
05:19.3     	14.07 	94.1        	14.43
05:20.2     	14.04 	94.2        	14.44
05:21.1     	14.01 	94.3        	14.44
05:21.9     	14.01 	94.3        	14.44
05:22.9     	14.06 	94.2        	14.44
05:23.8     	14.09 	94.2        	14.45
05:24.7     	14.05 	94.2        	14.45
05:25.6     	14.05 	94.1        	14.45
05:26.5     	14.04 	94.2        	14.45
05:27.4     	14.05 	94.1        	14.45
05:28.3     	14.08 	94.1        	14.46
05:29.2     	14.09 	94.1        	14.46
05:30.0     	14.09 	94.1        	14.46
05:30.9     	14.09 	94.2        	14.47
05:31.8     	14.08 	94.2        	14.47
05:32.7     	14.07 	94.3        	14.48
05:33.6     	14.05 	94.3        	14.48
