Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
04:20.0     	15.38 	69.8    	16.60
04:20.8     	15.49 	70.0    	16.58
04:21.7     	15.44 	70.0    	16.55
04:22.6     	15.39 	68.6    	16.53
04:23.5     	15.44 	70.0    	16.50
04:24.4     	15.53 	69.7    	16.48
04:25.3     	15.56 	69.7    	16.46
04:26.1     	15.59 	69.7    	16.45
04:27.0     	15.77 	70.9    	16.44
04:27.9     	16.06 	72.3    	16.44
04:28.8     	16.52 	72.6    	16.45
04:29.7     	16.16 	68.7    	16.46
04:30.7     	15.89 	68.3    	16.45
04:31.6     	15.75 	69.0    	16.45
04:32.5     	15.64 	68.8    	16.44
04:33.4     	15.43 	67.7    	16.43
04:34.3     	15.38 	69.2    	16.41
04:35.1     	15.59 	71.6    	16.40
04:36.0     	16.05 	74.1    	16.40
04:36.9     	16.20 	70.2    	16.41
04:37.8     	16.20 	69.0    	16.42
04:38.7     	16.13 	68.5    	16.43
04:39.6     	16.23 	71.2    	16.44
04:40.4     	16.35 	70.4    	16.46
04:41.5     	16.15 	69.3    	16.48
04:42.4     	15.98 	69.1    	16.49
04:43.2     	15.94 	69.5    	16.50
04:44.1     	15.80 	68.1    	16.51
04:45.0     	15.68 	66.8    	16.51
04:45.9     	15.61 	69.4    	16.51
04:46.8     	15.56 	69.9    	16.51
04:47.7     	15.48 	68.1    	16.50
04:48.5     	15.40 	68.4    	16.49
04:49.4     	15.39 	70.0    	16.47
04:50.4     	15.51 	71.1    	16.47
04:51.2     	15.79 	72.1    	16.47
04:52.1     	15.90 	71.9    	16.48
04:53.1     	15.92 	69.3    	16.49
04:54.0     	15.85 	69.9    	16.49
04:54.9     	16.04 	71.8    	16.51
04:55.8     	16.14 	69.5    	16.52
04:56.6     	16.02 	70.1    	16.53
04:57.5     	16.15 	69.1    	16.54
04:58.4     	15.96 	69.2    	16.56
04:59.3     	16.04 	70.1    	16.57
05:00.2     	15.94 	69.3    	16.57
05:01.1     	15.72 	68.4    	16.57
05:02.0     	15.66 	70.2    	16.56
05:02.9     	15.76 	70.4    	16.56
05:03.9     	15.74 	71.0    	16.55
05:04.7     	15.99 	73.0    	16.56
05:05.6     	16.33 	74.0    	16.57
05:06.5     	16.44 	70.7    	16.58
05:07.4     	16.00 	68.9    	16.58
05:08.3     	15.60 	68.8    	16.57
05:09.2     	15.24 	68.4    	16.54
05:10.1     	15.10 	69.0    	16.49
05:11.0     	15.02 	69.7    	16.45
05:11.9     	15.09 	69.6    	16.41
05:12.7     	15.17 	69.8    	16.38
05:13.6     	15.28 	69.8    	16.35
05:14.5     	15.38 	71.4    	16.33
05:15.5     	15.49 	69.8    	16.31
05:16.4     	15.47 	69.4    	16.30
05:17.3     	15.61 	72.3    	16.29
05:18.2     	15.69 	70.3    	16.28
05:19.1     	15.68 	69.5    	16.27
05:20.0     	15.73 	70.8    	16.27
05:20.8     	15.87 	70.5    	16.27
05:21.7     	15.96 	71.3    	16.29
05:22.6     	16.18 	73.4    	16.31
05:23.5     	16.15 	69.3    	16.32
05:24.4     	16.05 	70.4    	16.34
05:25.3     	16.16 	70.6    	16.36
05:26.2     	16.11 	70.3    	16.37
05:27.1     	16.18 	70.8    	16.40
05:28.0     	16.09 	70.3    	16.42
05:28.9     	16.00 	69.8    	16.43
05:29.8     	15.96 	71.1    	16.45
05:30.7     	16.23 	73.0    	16.47
05:31.5     	16.18 	68.9    	16.48
05:32.5     	15.81 	68.3    	16.49
05:33.4     	15.64 	69.5    	16.49
05:34.2     	15.51 	68.7    	16.49
05:35.1     	15.38 	69.7    	16.48
05:36.0     	15.43 	71.0    	16.46
05:37.0     	15.58 	71.2    	16.45
05:37.9     	15.52 	69.8    	16.44
05:38.8     	15.49 	70.2    	16.42
05:39.6     	15.48 	69.4    	16.41
05:40.5     	15.43 	70.3    	16.40
05:41.4     	15.37 	69.6    	16.39
05:42.3     	15.43 	70.5    	16.38
05:43.2     	15.59 	72.2    	16.37
05:44.1     	15.51 	69.9    	16.36
05:45.0     	15.54 	72.2    	16.35
05:45.9     	15.68 	71.0    	16.34
05:46.9     	15.72 	71.0    	16.33
05:47.7     	15.84 	73.5    	16.34
05:48.6     	16.18 	74.0    	16.35
05:49.5     	16.51 	72.8    	16.37
05:50.4     	16.58 	72.0    	16.40
05:51.3     	16.75 	73.6    	16.43
05:52.2     	16.93 	72.4    	16.47
05:53.1     	16.91 	70.7    	16.51
05:54.0     	16.75 	69.8    	16.54
