Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
04:25.9     	8.12  	89.9        	8.47
04:26.8     	8.13  	89.9        	8.46
04:27.7     	8.11  	90.0        	8.45
04:28.6     	8.11  	89.9        	8.45
04:29.4     	8.10  	89.9        	8.44
04:30.4     	8.10  	90.0        	8.43
04:31.4     	8.10  	90.0        	8.43
04:32.2     	8.09  	90.0        	8.42
04:33.1     	8.09  	90.0        	8.42
04:34.0     	8.09  	90.0        	8.41
04:34.9     	8.08  	90.0        	8.40
04:35.8     	8.07  	90.1        	8.40
04:36.7     	8.06  	90.2        	8.39
04:37.6     	8.05  	90.2        	8.38
04:38.5     	8.04  	90.2        	8.38
04:39.4     	8.03  	90.3        	8.37
04:40.2     	8.03  	90.3        	8.36
04:41.1     	8.05  	90.2        	8.36
04:42.0     	8.06  	90.0        	8.35
04:42.9     	8.07  	90.0        	8.35
04:43.9     	8.09  	89.9        	8.34
04:44.8     	8.10  	89.7        	8.32
04:45.7     	8.11  	89.6        	8.33
04:46.6     	8.10  	89.8        	8.33
04:47.5     	8.09  	89.9        	8.32
04:48.3     	8.09  	89.9        	8.32
04:49.2     	8.07  	90.0        	8.31
04:50.1     	8.06  	90.1        	8.31
04:51.0     	8.06  	90.1        	8.30
04:51.9     	8.06  	89.9        	8.30
04:52.8     	8.06  	90.0        	8.29
04:53.7     	8.06  	90.0        	8.29
04:54.6     	8.05  	90.1        	8.29
04:55.5     	8.05  	90.1        	8.28
04:56.3     	8.05  	90.0        	8.28
04:57.2     	8.05  	90.0        	8.27
04:58.2     	8.05  	90.0        	8.27
04:59.1     	8.05  	90.1        	8.27
05:00.0     	8.05  	90.0        	8.26
05:00.9     	8.05  	90.1        	8.26
05:01.8     	8.05  	90.1        	8.25
05:02.7     	8.05  	90.2        	8.25
05:03.6     	8.05  	90.2        	8.25
05:04.4     	8.06  	90.1        	8.24
05:05.3     	8.07  	90.0        	8.24
05:06.2     	8.07  	90.0        	8.24
05:07.1     	8.07  	90.0        	8.23
05:08.0     	8.08  	90.0        	8.23
05:08.9     	8.08  	90.0        	8.23
05:09.8     	8.08  	90.0        	8.22
